weights_str,w0,w1,w2,reg_ip,mae_ERA,mae_WHIP
6/4/4,6,4,4,200,0.71426,0.13407
8/1/2,8,1,2,600,0.71428,0.13369
5/2/3,5,2,3,200,0.71428,0.13393
8/4/2,8,4,2,300,0.71453,0.13441
7/2/3,7,2,3,300,0.71463,0.13448
6/1/4,6,1,4,400,0.7147,0.13391
7/5/3,7,5,3,200,0.71479,0.13432
8/3/3,8,3,3,300,0.715,0.13434
6/4/1,6,4,1,200,0.71533,0.13483
5/1/3,5,1,3,300,0.71545,0.13399
7/5/4,7,5,4,200,0.71555,0.1343
8/3/4,8,3,4,300,0.71559,0.13436
8/2/2,8,2,2,400,0.71587,0.1345
4/1/1,4,1,1,200,0.71587,0.1345
7/5/2,7,5,2,200,0.71622,0.13473
6/1/1,6,1,1,400,0.71629,0.1341
6/3/3,6,3,3,200,0.71636,0.13417
7/3/1,7,3,1,300,0.71653,0.13452
8/5/1,8,5,1,300,0.71658,0.13458
7/2/2,7,2,2,300,0.71661,0.1349
6/3/2,6,3,2,200,0.71673,0.13457
5/1/1,5,1,1,300,0.71683,0.13412
5/1/4,5,1,4,300,0.71697,0.13421
8/3/2,8,3,2,300,0.71723,0.13498
7/2/4,7,2,4,300,0.71784,0.13458
5/2/1,5,2,1,200,0.71814,0.13465
7/4/3,7,4,3,200,0.71881,0.13472
4/1/3,4,1,3,200,0.71888,0.13479
6/3/4,6,3,4,200,0.71893,0.13435
5/2/4,5,2,4,200,0.71916,0.13472
7/1/2,7,1,2,400,0.71923,0.13465
7/4/2,7,4,2,200,0.71923,0.13496
8/4/1,8,4,1,300,0.7196,0.13497
7/1/3,7,1,3,400,0.71964,0.13479
3/1/4,3,1,4,200,0.71966,0.13371
7/4/4,7,4,4,200,0.71993,0.13468
4/1/4,4,1,4,200,0.72026,0.1342
7/1/4,7,1,4,400,0.72037,0.13475
8/5/3,8,5,3,200,0.72063,0.13504
7/1/1,7,1,1,400,0.72098,0.13531
6/1/2,6,1,2,300,0.72113,0.13487
6/2/2,6,2,2,200,0.72116,0.13538
8/2/3,8,2,3,300,0.72131,0.13556
7/3/3,7,3,3,200,0.72135,0.13514
6/2/3,6,2,3,200,0.72148,0.13523
8/5/4,8,5,4,200,0.72175,0.13512
8/2/1,8,2,1,400,0.72239,0.13532
8/5/2,8,5,2,200,0.72258,0.13554
6/1/3,6,1,3,300,0.72259,0.13514
7/5/1,7,5,1,200,0.72293,0.13579
7/2/1,7,2,1,300,0.72334,0.13566
8/2/4,8,2,4,300,0.72337,0.13547
7/3/2,7,3,2,200,0.72343,0.13574
7/3/4,7,3,4,200,0.72366,0.13541
6/3/1,6,3,1,200,0.72382,0.13566
8/3/1,8,3,1,300,0.72408,0.13594
6/1/4,6,1,4,300,0.72438,0.13523
8/4/3,8,4,3,200,0.72481,0.13571
8/4/4,8,4,4,200,0.72487,0.13549
8/1/4,8,1,4,400,0.72559,0.13561
5/1/2,5,1,2,200,0.72561,0.13559
8/1/3,8,1,3,400,0.72567,0.13585
6/2/4,6,2,4,200,0.72568,0.13565
8/2/2,8,2,2,300,0.72586,0.13603
7/4/1,7,4,1,200,0.72651,0.13605
6/1/1,6,1,1,300,0.72713,0.13579
8/4/2,8,4,2,200,0.72737,0.13632
8/3/3,8,3,3,200,0.72802,0.13625
7/2/3,7,2,3,200,0.72838,0.13642
6/2/1,6,2,1,200,0.72883,0.13652
8/1/2,8,1,2,400,0.72891,0.13586
8/3/4,8,3,4,200,0.72893,0.1363
5/1/3,5,1,3,200,0.7292,0.13585
7/1/2,7,1,2,300,0.72936,0.13621
7/1/3,7,1,3,300,0.72945,0.13626
8/1/1,8,1,1,400,0.72952,0.13699
5/1/4,5,1,4,200,0.72992,0.1363
8/5/1,8,5,1,200,0.73001,0.13669
7/1/4,7,1,4,300,0.73045,0.13615
7/2/2,7,2,2,200,0.73062,0.13712
8/3/2,8,3,2,200,0.73095,0.13703
7/3/1,7,3,1,200,0.73118,0.13691
5/1/1,5,1,1,200,0.73154,0.13645
7/2/4,7,2,4,200,0.73194,0.13659
7/1/1,7,1,1,300,0.73272,0.13733
8/2/1,8,2,1,300,0.73346,0.1373
