weights_str,w0,w1,w2,reg_ip,mae_ERA,mae_WHIP
5/4/4,5,4,4,300,0.70537,0.13402
3/2/2,3,2,2,200,0.70548,0.13433
6/4/4,6,4,4,400,0.70548,0.13433
5/1/4,5,1,4,800,0.7057,0.13461
5/5/1,5,5,1,300,0.70571,0.13499
3/1/4,3,1,4,600,0.70578,0.13442
5/5/4,5,5,4,300,0.70607,0.13372
3/4/3,3,4,3,200,0.70618,0.13325
5/1/1,5,1,1,800,0.70618,0.13468
4/3/4,4,3,4,300,0.7064,0.13341
8/3/4,8,3,4,600,0.70645,0.13476
6/4/1,6,4,1,400,0.70645,0.13454
5/1/3,5,1,3,800,0.70649,0.13484
8/4/2,8,4,2,600,0.70652,0.13448
4/2/1,4,2,1,300,0.70652,0.13448
8/2/3,8,2,3,800,0.70671,0.13495
3/3/3,3,3,3,200,0.70692,0.13344
8/3/3,8,3,3,600,0.70695,0.13464
4/5/2,4,5,2,200,0.707,0.13469
7/5/4,7,5,4,400,0.70704,0.13452
7/5/3,7,5,3,400,0.70711,0.13459
5/4/1,5,4,1,300,0.70723,0.13502
4/2/3,4,2,3,300,0.70731,0.1346
8/5/1,8,5,1,600,0.70736,0.13431
7/2/1,7,2,1,800,0.70741,0.13482
3/5/2,3,5,2,200,0.70762,0.13378
6/1/2,6,1,2,800,0.70765,0.13488
4/1/2,4,1,2,400,0.70774,0.13513
8/2/4,8,2,4,800,0.70774,0.13513
8/3/1,8,3,1,800,0.70777,0.13471
6/3/3,6,3,3,400,0.70782,0.13448
5/1/2,5,1,2,600,0.70784,0.13484
5/3/2,5,3,2,300,0.70809,0.13456
7/2/4,7,2,4,600,0.70826,0.13517
7/5/2,7,5,2,400,0.70832,0.13476
3/1/3,3,1,3,300,0.70837,0.1341
6/2/1,6,2,1,600,0.70843,0.13476
3/5/1,3,5,1,200,0.70852,0.13488
7/2/3,7,2,3,600,0.70856,0.1352
5/2/4,5,2,4,400,0.70868,0.13501
6/5/4,6,5,4,300,0.70871,0.13454
6/1/4,6,1,4,800,0.70872,0.13502
6/3/2,6,3,2,400,0.70876,0.1347
6/1/3,6,1,3,800,0.70887,0.13521
6/3/4,6,3,4,400,0.70895,0.13468
5/3/3,5,3,3,300,0.70907,0.13471
4/4/3,4,4,3,200,0.70913,0.13447
4/4/2,4,4,2,200,0.70918,0.13533
7/3/1,7,3,1,600,0.7093,0.13488
4/1/1,4,1,1,400,0.7094,0.13523
8/2/2,8,2,2,800,0.7094,0.13523
3/2/3,3,2,3,200,0.70951,0.13404
5/1/4,5,1,4,600,0.70977,0.135
5/3/4,5,3,4,300,0.70981,0.13412
6/5/3,6,5,3,300,0.70982,0.13535
4/1/3,4,1,3,400,0.71002,0.13533
7/2/2,7,2,2,600,0.71005,0.13545
4/3/3,4,3,3,200,0.71006,0.13439
4/3/2,4,3,2,200,0.7101,0.135
5/1/3,5,1,3,600,0.71017,0.1352
3/2/4,3,2,4,300,0.71027,0.13366
4/4/1,4,4,1,200,0.71036,0.13579
8/3/2,8,3,2,600,0.71042,0.13533
6/5/2,6,5,2,300,0.71043,0.13554
6/1/1,6,1,1,800,0.71043,0.13536
5/3/1,5,3,1,300,0.71051,0.13497
4/5/3,4,5,3,200,0.71053,0.13443
5/1/1,5,1,1,600,0.71057,0.13518
7/4/4,7,4,4,400,0.7107,0.13495
7/1/1,7,1,1,800,0.71078,0.1355
7/4/3,7,4,3,400,0.7108,0.135
3/5/3,3,5,3,200,0.7108,0.13383
5/2/1,5,2,1,400,0.71084,0.13502
3/4/4,3,4,4,200,0.71097,0.13406
4/2/4,4,2,4,300,0.71098,0.13442
7/4/2,7,4,2,400,0.71103,0.13501
6/4/3,6,4,3,300,0.71111,0.13514
6/2/3,6,2,3,400,0.71119,0.13554
4/1/4,4,1,4,400,0.71122,0.13462
8/4/1,8,4,1,600,0.71146,0.13497
7/1/2,7,1,2,800,0.71192,0.13552
6/4/2,6,4,2,300,0.71202,0.13535
5/2/2,5,2,2,300,0.71209,0.13531
3/1/4,3,1,4,400,0.71227,0.1347
4/3/1,4,3,1,200,0.71228,0.13582
7/3/3,7,3,3,400,0.7125,0.13536
4/5/1,4,5,1,200,0.71253,0.13648
8/5/3,8,5,3,400,0.71259,0.13528
5/2/3,5,2,3,300,0.71275,0.13563
6/5/1,6,5,1,300,0.71279,0.13608
7/1/3,7,1,3,800,0.71284,0.13577
7/1/4,7,1,4,800,0.71307,0.13567
7/3/4,7,3,4,400,0.71307,0.13567
7/5/1,7,5,1,400,0.71313,0.13519
8/5/4,8,5,4,400,0.71316,0.13535
6/4/4,6,4,4,300,0.71337,0.13547
6/1/2,6,1,2,600,0.71357,0.13555
8/2/3,8,2,3,600,0.71362,0.13599
8/2/1,8,2,1,800,0.71363,0.13568
6/2/4,6,2,4,400,0.71377,0.13583
3/1/2,3,1,2,200,0.71377,0.13583
5/5/3,5,5,3,200,0.71389,0.13549
6/2/2,6,2,2,400,0.71391,0.13578
3/1/1,3,1,1,200,0.71391,0.13578
7/3/2,7,3,2,400,0.71408,0.13564
3/5/4,3,5,4,200,0.71412,0.13435
4/5/4,4,5,4,200,0.71421,0.13454
8/5/2,8,5,2,400,0.71429,0.13554
6/1/4,6,1,4,600,0.7143,0.1357
3/3/4,3,3,4,200,0.71451,0.13461
7/2/1,7,2,1,600,0.71451,0.13573
8/2/4,8,2,4,600,0.71468,0.13615
4/1/2,4,1,2,300,0.71468,0.13615
6/1/3,6,1,3,600,0.71479,0.13593
4/4/4,4,4,4,200,0.71488,0.13471
6/4/1,6,4,1,300,0.71498,0.13586
8/3/1,8,3,1,600,0.71504,0.1358
6/3/1,6,3,1,400,0.71513,0.13564
7/5/3,7,5,3,300,0.71515,0.13576
7/5/4,7,5,4,300,0.71526,0.13567
6/3/3,6,3,3,300,0.71537,0.13571
8/4/4,8,4,4,400,0.71537,0.13571
4/2/2,4,2,2,200,0.71537,0.13571
5/5/2,5,5,2,200,0.71563,0.13648
7/4/1,7,4,1,400,0.7161,0.1355
8/4/3,8,4,3,400,0.7162,0.13584
7/5/2,7,5,2,300,0.71656,0.13606
5/2/4,5,2,4,300,0.7166,0.1361
8/1/3,8,1,3,800,0.71661,0.1363
6/3/2,6,3,2,300,0.71668,0.13591
8/1/4,8,1,4,800,0.71672,0.13626
4/1/3,4,1,3,300,0.71672,0.13629
5/4/2,5,4,2,200,0.71682,0.13646
8/2/2,8,2,2,600,0.71686,0.13628
4/1/1,4,1,1,300,0.71686,0.13628
5/4/4,5,4,4,200,0.71697,0.13593
5/4/3,5,4,3,200,0.71698,0.13639
8/1/1,8,1,1,800,0.71704,0.13639
5/1/2,5,1,2,400,0.71705,0.13612
6/3/4,6,3,4,300,0.71709,0.13585
4/3/4,4,3,4,200,0.71737,0.13509
6/1/1,6,1,1,600,0.7174,0.13611
5/5/4,5,5,4,200,0.7174,0.13552
8/3/4,8,3,4,400,0.71762,0.13636
5/5/1,5,5,1,200,0.71774,0.13707
3/1/3,3,1,3,200,0.71798,0.13557
8/4/2,8,4,2,400,0.71803,0.13613
4/2/1,4,2,1,200,0.71803,0.13613
8/3/3,8,3,3,400,0.71815,0.13624
4/1/4,4,1,4,300,0.71828,0.13559
5/1/4,5,1,4,400,0.7186,0.1363
3/1/4,3,1,4,300,0.71865,0.13534
4/2/3,4,2,3,200,0.71872,0.13631
7/4/3,7,4,3,300,0.71875,0.13619
7/4/4,7,4,4,300,0.71891,0.13612
8/1/2,8,1,2,800,0.71897,0.13622
5/1/3,5,1,3,400,0.71899,0.13649
6/2/1,6,2,1,400,0.71912,0.13637
5/2/1,5,2,1,300,0.71922,0.13622
7/2/4,7,2,4,400,0.71927,0.13664
7/4/2,7,4,2,300,0.7193,0.13628
5/3/2,5,3,2,200,0.7193,0.13623
7/2/3,7,2,3,400,0.7193,0.1368
6/2/3,6,2,3,300,0.71951,0.1367
7/1/1,7,1,1,600,0.71953,0.13657
5/4/1,5,4,1,200,0.71954,0.1371
8/5/1,8,5,1,400,0.71965,0.13609
7/1/2,7,1,2,600,0.71968,0.13649
7/1/3,7,1,3,600,0.71991,0.13677
7/1/4,7,1,4,600,0.71992,0.13669
3/2/4,3,2,4,200,0.72021,0.13529
6/5/4,6,5,4,200,0.72042,0.13646
7/3/3,7,3,3,300,0.72054,0.13658
5/3/3,5,3,3,200,0.72064,0.1364
8/5/3,8,5,3,300,0.72092,0.13649
5/1/1,5,1,1,400,0.72115,0.13649
7/3/1,7,3,1,400,0.72127,0.13657
8/5/4,8,5,4,300,0.72136,0.1365
6/5/3,6,5,3,200,0.72147,0.13714
7/2/2,7,2,2,400,0.72155,0.13715
5/3/4,5,3,4,200,0.72159,0.136
7/3/4,7,3,4,300,0.72167,0.13684
6/5/2,6,5,2,200,0.72208,0.1374
7/5/1,7,5,1,300,0.72216,0.13671
8/2/1,8,2,1,600,0.72225,0.13678
4/2/4,4,2,4,200,0.72226,0.13635
6/2/2,6,2,2,300,0.72235,0.137
8/3/2,8,3,2,400,0.72244,0.13707
6/2/4,6,2,4,300,0.72248,0.13701
5/3/1,5,3,1,200,0.72271,0.13688
6/4/3,6,4,3,200,0.72274,0.13684
7/3/2,7,3,2,300,0.72278,0.13693
8/5/2,8,5,2,300,0.72288,0.13687
5/2/2,5,2,2,200,0.72369,0.13707
8/4/4,8,4,4,300,0.72382,0.1369
6/4/2,6,4,2,200,0.72389,0.13713
6/3/1,6,3,1,300,0.724,0.13693
8/4/1,8,4,1,400,0.7241,0.1368
8/1/4,8,1,4,600,0.72453,0.1374
8/4/3,8,4,3,300,0.72457,0.13708
8/1/3,8,1,3,600,0.72467,0.13744
6/1/4,6,1,4,400,0.72478,0.1372
6/1/2,6,1,2,400,0.72507,0.13717
6/4/4,6,4,4,200,0.72512,0.13736
5/2/3,5,2,3,200,0.72515,0.1373
7/4/1,7,4,1,300,0.72517,0.13696
5/1/2,5,1,2,300,0.72559,0.13736
8/2/3,8,2,3,400,0.72563,0.13779
6/5/1,6,5,1,200,0.7257,0.13815
6/1/3,6,1,3,400,0.7258,0.1375
7/5/3,7,5,3,200,0.72622,0.13747
7/5/4,7,5,4,200,0.7266,0.13752
8/3/4,8,3,4,300,0.72666,0.13761
5/1/4,5,1,4,300,0.72679,0.13746
4/1/2,4,1,2,200,0.72681,0.13792
8/2/4,8,2,4,400,0.72681,0.13792
